п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"138538";"ООО ""МОНТЕ РОСА ЯХТ КЛАБ"" / Кофейня « Surf& Sretenka»";"Москва г, ул Сретенка, д. 27, стр. 1,";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7713062";"37.6322067";"11.05.2025";"https://durnovcev2000.kaiten.ru/43241146"
"138475";"ИП Иванова Ольга Владимировна";"Москва, ул Земляной Вал, д. 21/2, стр. 1";"ЦАО";"Технологии Безопасности";"Сафин М.С.";"КВ";"55.7607711";"37.65820840000001";"11.05.2025";"https://durnovcev2000.kaiten.ru/38910583"
"№ 724ТБ";"ООО БЕЗЕ (Кафе-кондитерская БЕЗЕ (BEZE))";"Москва г, Архитектора Щусева ул, дом № 2, корпус 2, помещение 7";"ЦАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.6991113";"37.6352099";"07.05.2025";"https://durnovcev2000.kaiten.ru/32562255"
"ТО-975";"""ИП Мачульская Кристина Викторовна, Салон Красоты ЗИЛ Наилс Студио""";"Москва г, Автозаводская ул, дом № 23Б, корпус 2";"ЦАО";"Гранит";"Калиниченко А.С.";"КВ";"55.7052019";"37.6327695";"07.05.2025";"https://durnovcev2000.kaiten.ru/32562314"
"133197";"ООО «ЭЛДОРА ТРЕЙД»/Аптека «Еаптека»";"Москва г, Автозаводская ул, дом № 23Б, корпус 2";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7052019";"37.6327695";"07.05.2025";"https://durnovcev2000.kaiten.ru/37877860"
"133612";"ООО «Клиника косметологии «Нью-Йорк» (Клиника косметологии «Нью-Йорк»)";"Москва г, Архитектора Щусева ул, дом 2, корпус 3";"ЦАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.700613";"37.633634";"07.05.2025";"https://durnovcev2000.kaiten.ru/33814819"
"131577";"ООО «ЭЛДОРА ТРЕЙД»/Аптека «Еаптека»";"Москва г, Архитектора Щусева ул, дом № 2, корпус 1";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6991113";"37.6352099";"07.05.2025";"https://durnovcev2000.kaiten.ru/37878187"
"456ТБ";"ИП Закирзянов Ринат Раисович/Магазин разливного пива ""Место Пиво""";"Москва г, Архитектора Щусева ул, дом 3";"ЦАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.69958099999999";"37.6356478";"07.05.2025";"https://durnovcev2000.kaiten.ru/33814848"
"1757";"ООО ЧОП «Технологии безопасности»/(Банк Казани, касса)";"Москва г, ул Автозаводская, д. 4";"ЦАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.70440079999999";"37.63464080000001";"07.05.2025";"https://durnovcev2000.kaiten.ru/48499407"
"3668";"ООО «Инрем», Офис";"Москва г, Нижний Сусальный, , дом 5, строение 23";"ЦАО";"Секьюрикоп-техник Краснодар";"Шайхиев А.Р.";"КВ";"55.761152";"37.664744";"23.04.2025";"https://durnovcev2000.kaiten.ru/32562837"
